cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Access to Arts Humanities Social Sciences & Law AHSSL - Young Adult Applicants,,8,,"Arts, STEM",https://www.qualifax.ie/course/30309,1,0,,,2025-01-25T15:00:00,0," stem, access, adult, ahssl, applicants, arts, humanities, law, sciences, social, young"
,Access to Science Engineering Agricultural Science & Medicine SEAM,,8,,"Health, STEM",https://www.qualifax.ie/course/30315,1,0,,,2025-01-25T15:00:00,0," stem, access, agricultural, engineering, health, medicine, science, seam"
,Access to University - AUC,,8,,General,https://www.qualifax.ie/course/69370,1,0,,,2025-01-25T15:00:00,0,"access, auc, general, university"
,Accountancy - ACCA,,8,,General,https://www.qualifax.ie/course/94479,1,0,,,2025-01-25T15:00:00,0,"acca, accountancy, general"
,Accountancy - Association of Chartered Certified Accountants - ACCA,,6,,Arts,https://www.qualifax.ie/course/85173,1,0,,,2025-01-25T15:00:00,0,"acca, accountancy, accountants, arts, association, certified, chartered"
,Accountancy - Chartered Institute of Management Accountants - CIMA,,9,,"Arts, Business",https://www.qualifax.ie/course/110852,1,0,,,2025-01-25T15:00:00,0," business, accountancy, accountants, arts, chartered, cima, institute, management"
,Accountancy & Finance - Structured,,8,,Business,https://www.qualifax.ie/course/224326,1,0,,,2025-01-25T15:00:00,0,"accountancy, business, finance, structured"
,Accountancy & Payroll Pathway - Traineeship,,8,,General,https://www.qualifax.ie/course/110653,1,0,,,2025-01-25T15:00:00,0,"accountancy, general, pathway, payroll, traineeship"
,Accountancy Payroll & Human Resources,,8,,General,https://www.qualifax.ie/course/105758,1,0,,,2025-01-25T15:00:00,0,"accountancy, general, human, payroll, resources"
,Accountancy Technician - ATI,,8,,General,https://www.qualifax.ie/course/1334,1,0,,,2025-01-25T15:00:00,0,"accountancy, ati, general, technician"
,"Accountancy, Business & Taxation",,8,,Business,https://www.qualifax.ie/course/83648,1,0,,,2025-01-25T15:00:00,0,"accountancy, business, taxation"
,Accounting,,8,,Business,https://www.qualifax.ie/course/115254,1,0,,,2025-01-25T15:00:00,0,"accounting, business"
,Accounting - Advanced,,8,,Business,https://www.qualifax.ie/course/110556,1,0,,,2025-01-25T15:00:00,0,"accounting, advanced, business"
,Accounting - Advanced Accounting with Placement,,8,,Business,https://www.qualifax.ie/course/3313,1,0,,,2025-01-25T15:00:00,0,"accounting, advanced, business, placement"
,Accounting - Advanced Entry - Aungier Street,,8,,Business,https://www.qualifax.ie/course/224003,1,0,,,2025-01-25T15:00:00,0,"accounting, advanced, aungier, business, entry, street"
,Accounting - Athlone,,8,,Business,https://www.qualifax.ie/course/25064,1,0,,,2025-01-25T15:00:00,0,"accounting, athlone, business"
,Accounting - Aungier Street,,8,,Business,https://www.qualifax.ie/course/1670,1,0,,,2025-01-25T15:00:00,0,"accounting, aungier, business, street"
,Accounting - Carlow,,8,,Business,https://www.qualifax.ie/course/42560,1,0,,,2025-01-25T15:00:00,0,"accounting, business, carlow"
,Accounting - Conversion Course - Aungier Street,,8,,Business,https://www.qualifax.ie/course/18958,1,0,,,2025-01-25T15:00:00,0,"accounting, aungier, business, conversion, street"
,Accounting - Cork,,8,,Business,https://www.qualifax.ie/course/59526,1,0,,,2025-01-25T15:00:00,0,"accounting, business, cork"
,Accounting - Galway,,8,,Business,https://www.qualifax.ie/course/13189,1,0,,,2025-01-25T15:00:00,0,"accounting, business, galway"
,Accounting - International - Aungier Street,,8,,Business,https://www.qualifax.ie/course/93540,1,0,,,2025-01-25T15:00:00,0,"accounting, aungier, business, international, street"
,Accounting - International Accounting with Analytics,,8,,Business,https://www.qualifax.ie/course/112988,1,0,,,2025-01-25T15:00:00,0,"accounting, analytics, business, international"
,Accounting - Letterkenny,,8,,Business,https://www.qualifax.ie/course/108007,1,0,,,2025-01-25T15:00:00,0,"accounting, business, letterkenny"
,Accounting - Major with French,,8,,Business,https://www.qualifax.ie/course/3209,1,0,,,2025-01-25T15:00:00,0,"accounting, business, french, major"
,Accounting - Major with Spanish,,8,,Business,https://www.qualifax.ie/course/3464,1,0,,,2025-01-25T15:00:00,0,"accounting, business, major, spanish"
,Accounting - Manual & Computerised,,8,,"Business, STEM",https://www.qualifax.ie/course/108922,1,0,,,2025-01-25T15:00:00,0," stem, accounting, business, computerised, manual"
,Accounting - Pathways,,8,,Business,https://www.qualifax.ie/course/112458,1,0,,,2025-01-25T15:00:00,0,"accounting, business, pathways"
,Accounting - Professional Accounting,,8,,Business,https://www.qualifax.ie/course/47781,1,0,,,2025-01-25T15:00:00,0,"accounting, business, professional"
,Accounting - Research,,8,,Business,https://www.qualifax.ie/course/33532,1,0,,,2025-01-25T15:00:00,0,"accounting, business, research"
,Accounting - Sligo,,8,,Business,https://www.qualifax.ie/course/34200,1,0,,,2025-01-25T15:00:00,0,"accounting, business, sligo"
,Accounting - Strategic,,8,,Business,https://www.qualifax.ie/course/110560,1,0,,,2025-01-25T15:00:00,0,"accounting, business, strategic"
,Accounting - Waterford,,8,,Business,https://www.qualifax.ie/course/2623,1,0,,,2025-01-25T15:00:00,0,"accounting, business, waterford"
,Accounting & Analytics,,8,,Business,https://www.qualifax.ie/course/224294,1,0,,,2025-01-25T15:00:00,1,"accounting, analytics, business"
,Accounting & Business - Advanced Diploma,,7,,Business,https://www.qualifax.ie/course/2775,1,0,,,2025-01-25T15:00:00,1,"accounting, advanced, business, diploma"
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/113231,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance"
,Accounting & Finance - Advanced Entry - Blanchardstown & Tallaght,,8,,Business,https://www.qualifax.ie/course/224005,1,0,,,2025-01-25T15:00:00,1,"accounting, advanced, blanchardstown, business, entry, finance, tallaght"
,Accounting & Finance - Blanchardstown or Tallaght,,8,,Business,https://www.qualifax.ie/course/109641,1,0,,,2025-01-25T15:00:00,1,"accounting, blanchardstown, business, finance, tallaght"
,Accounting & Finance - Limerick,,8,,Business,https://www.qualifax.ie/course/2647,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance, limerick"
,Accounting & Finance - Research,,8,,Business,https://www.qualifax.ie/course/112566,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance, research"
,Accounting & Finance - Tallaght,,8,,Business,https://www.qualifax.ie/course/109088,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance, tallaght"
,Accounting & Finance Management,,8,,Business,https://www.qualifax.ie/course/39291,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance, management"
,Accounting & Financial Management,,8,,Business,https://www.qualifax.ie/course/108161,1,0,,,2025-01-25T15:00:00,1,"accounting, business, financial, management"
,Accounting & Financial Services,,8,,Business,https://www.qualifax.ie/course/111390,1,0,,,2025-01-25T15:00:00,1,"accounting, business, financial, services"
,Accounting & Law,,8,,Business,https://www.qualifax.ie/course/112459,1,0,,,2025-01-25T15:00:00,1,"accounting, business, law"
,Accounting & Marketing,,8,,Business,https://www.qualifax.ie/course/44793,1,0,,,2025-01-25T15:00:00,1,"accounting, business, marketing"
,Accounting & Performance Analytics - Conversion Course,,8,,Business,https://www.qualifax.ie/course/20020,1,0,,,2025-01-25T15:00:00,1,"accounting, analytics, business, conversion, performance"
,Accounting and Finance,,8,,Business,https://www.qualifax.ie/course/3662,1,0,,,2025-01-25T15:00:00,1,"accounting, business, finance"
,Accounting for SMES - Manual & Computerised,,8,,"Business, STEM",https://www.qualifax.ie/course/8505,1,0,,,2025-01-25T15:00:00,1," stem, accounting, business, computerised, manual, smes"
,Accounting Payroll & Taxation,,8,,Business,https://www.qualifax.ie/course/67957,1,0,,,2025-01-25T15:00:00,1,"accounting, business, payroll, taxation"
,Accounting Technician,,8,,Business,https://www.qualifax.ie/course/3700,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician"
,Accounting Technician - 2nd Year,,8,,Business,https://www.qualifax.ie/course/3187,1,0,,,2025-01-25T15:00:00,1,"2nd, accounting, business, technician, year"
,Accounting Technician - ATI - Year 1,,8,,Business,https://www.qualifax.ie/course/223734,1,0,,,2025-01-25T15:00:00,1,"accounting, ati, business, technician, year"
,Accounting Technician - ATI - Year 2,,8,,Business,https://www.qualifax.ie/course/223736,1,0,,,2025-01-25T15:00:00,1,"accounting, ati, business, technician, year"
,Accounting Technician - Certified - ACCA,,6,,Business,https://www.qualifax.ie/course/3273,1,0,,,2025-01-25T15:00:00,1,"acca, accounting, business, certified, technician"
,Accounting Technician - First Year & Information systems,,8,,Business,https://www.qualifax.ie/course/1880,1,0,,,2025-01-25T15:00:00,1,"accounting, business, first, information, systems, technician, year"
,Accounting Technician - Pre,,8,,Business,https://www.qualifax.ie/course/109031,1,0,,,2025-01-25T15:00:00,1,"accounting, business, pre, technician"
,Accounting Technician - Year 1,,8,,Business,https://www.qualifax.ie/course/376,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technician - Year 1 & 2,,8,,Business,https://www.qualifax.ie/course/398,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technician - Year 1 & 2 - ATI,,8,,Business,https://www.qualifax.ie/course/12275,1,0,,,2025-01-25T15:00:00,1,"accounting, ati, business, technician, year"
,Accounting Technician - Year 1 & Year 2,,8,,Business,https://www.qualifax.ie/course/557,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technician - Year 2,,8,,Business,https://www.qualifax.ie/course/7290,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technician - Year 2 - ATI,,8,,Business,https://www.qualifax.ie/course/71296,1,0,,,2025-01-25T15:00:00,1,"accounting, ati, business, technician, year"
,Accounting Technician Year 1,,8,,Business,https://www.qualifax.ie/course/223309,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technician Year 2,,8,,Business,https://www.qualifax.ie/course/221373,1,0,,,2025-01-25T15:00:00,1,"accounting, business, technician, year"
,Accounting Technicians Ireland - ATI,,8,,Business,https://www.qualifax.ie/course/56496,1,0,,,2025-01-25T15:00:00,1,"accounting, ati, business, ireland, technicians"
,Accounting Technicians Ireland - Cork,,8,,Business,https://www.qualifax.ie/course/27062,1,0,,,2025-01-25T15:00:00,1,"accounting, business, cork, ireland, technicians"
,Accounting with Business,,8,,Business,https://www.qualifax.ie/course/222684,1,0,,,2025-01-25T15:00:00,1,"accounting, business"
,Accounting with Computing,,8,,Business,https://www.qualifax.ie/course/218442,1,0,,,2025-01-25T15:00:00,1,"accounting, business, computing"
,Accounting with Education,,8,,"Business, Education",https://www.qualifax.ie/course/218443,1,0,,,2025-01-25T15:00:00,1," education, accounting, business, education"
,Accounting with Finance (with Placement) - Athlone,,8,,Business,https://www.qualifax.ie/course/113912,1,0,,,2025-01-25T15:00:00,1,"accounting, athlone, business, finance, placement"
,"Accounting, Finance & Analytics",,8,,Business,https://www.qualifax.ie/course/222265,1,0,,,2025-01-25T15:00:00,1,"accounting, analytics, business, finance"
,Accounting International Accounting & Analytics - Pathway A,,8,,Business,https://www.qualifax.ie/course/101701,1,0,,,2025-01-25T15:00:00,1,"accounting, analytics, business, international, pathway"
,Accounting International Accounting & Analytics - Pathway B,,8,,Business,https://www.qualifax.ie/course/101708,1,0,,,2025-01-25T15:00:00,1,"accounting, analytics, business, international, pathway"
,Accounts Administration - Business Administration,,8,,Business,https://www.qualifax.ie/course/99079,1,0,,,2025-01-25T15:00:00,1,"accounts, administration, business"
,Accounts Administrator - Business Administration,,8,,Business,https://www.qualifax.ie/course/222765,1,0,,,2025-01-25T15:00:00,1,"accounts, administration, administrator, business"
,Acting - Advanced for Stage & Screen,,8,,General,https://www.qualifax.ie/course/21738,1,0,,,2025-01-25T15:00:00,1,"acting, advanced, general, screen, stage"
,Acting - The Lir Academy,,8,,General,https://www.qualifax.ie/course/56636,1,0,,,2025-01-25T15:00:00,1,"academy, acting, general, lir"
,Acting & Theatre - The Lir Academy,,8,,General,https://www.qualifax.ie/course/87616,1,0,,,2025-01-25T15:00:00,1,"academy, acting, general, lir, theatre"
,Acting & Theatre Performance,,8,,General,https://www.qualifax.ie/course/28414,1,0,,,2025-01-25T15:00:00,1,"acting, general, performance, theatre"
,Acting for Stage & Screen,,8,,General,https://www.qualifax.ie/course/76376,1,0,,,2025-01-25T15:00:00,1,"acting, general, screen, stage"
,Action Learning - Letterkenny,,8,,General,https://www.qualifax.ie/course/222449,1,0,,,2025-01-25T15:00:00,1,"action, general, learning, letterkenny"
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/102440,1,0,,,2025-01-25T15:00:00,1,"activities, care, health, living, patient"
,Activities of Living Patient Care - Healthcare,,8,,Health,https://www.qualifax.ie/course/223178,1,0,,,2025-01-25T15:00:00,1,"activities, care, health, healthcare, living, patient"
,Activities of Living Patient Care - Online,,8,,Health,https://www.qualifax.ie/course/87896,1,0,,,2025-01-25T15:00:00,1,"activities, care, health, living, online, patient"
,Actor Training - Advanced (Classical Acting),,8,,General,https://www.qualifax.ie/course/1678,1,0,,,2025-01-25T15:00:00,1,"acting, actor, advanced, classical, general, training"
,Actor Training Advanced,,8,,General,https://www.qualifax.ie/course/219561,1,0,,,2025-01-25T15:00:00,1,"actor, advanced, general, training"
,Actuarial & Financial Mathematics - Common Entry,,8,,STEM,https://www.qualifax.ie/course/31054,1,0,,,2025-01-25T15:00:00,1,"actuarial, common, entry, financial, mathematics, stem"
,Actuarial & Financial Studies,,8,,General,https://www.qualifax.ie/course/2287,1,0,,,2025-01-25T15:00:00,1,"actuarial, financial, general, studies"
,Actuarial Mathematics,,8,,STEM,https://www.qualifax.ie/course/2285,1,0,,,2025-01-25T15:00:00,1,"actuarial, mathematics, stem"
,Actuarial Science,,8,,STEM,https://www.qualifax.ie/course/112938,1,0,,,2025-01-25T15:00:00,1,"actuarial, science, stem"
,Actuarial Science & Risk Management,,8,,"Business, STEM",https://www.qualifax.ie/course/31605,1,0,,,2025-01-25T15:00:00,1," stem, actuarial, business, management, risk, science"
,Addiction Counselling - Blended,,8,,General,https://www.qualifax.ie/course/104754,1,0,,,2025-01-25T15:00:00,1,"addiction, blended, counselling, general"
,Addiction Counselling - Gambling,,8,,General,https://www.qualifax.ie/course/218518,1,0,,,2025-01-25T15:00:00,1,"addiction, counselling, gambling, general"
,Addiction Counselling & Psychotherapy,,8,,Health,https://www.qualifax.ie/course/99371,1,0,,,2025-01-25T15:00:00,2,"addiction, counselling, health, psychotherapy"
,Addiction Recovery,,8,,General,https://www.qualifax.ie/course/218520,1,0,,,2025-01-25T15:00:00,2,"addiction, general, recovery"
,Addiction Studies,,8,,General,https://www.qualifax.ie/course/19745,1,0,,,2025-01-25T15:00:00,2,"addiction, general, studies"
,Additive Manufacturing - Introduction to - Waterford,,8,,General,https://www.qualifax.ie/course/220120,1,0,,,2025-01-25T15:00:00,2,"additive, general, introduction, manufacturing, waterford"
,Administration - Advanced,,8,,General,https://www.qualifax.ie/course/1848,1,0,,,2025-01-25T15:00:00,2,"administration, advanced, general"
,Administration - Advanced - Payroll & Bookkeeping,,8,,General,https://www.qualifax.ie/course/40078,1,0,,,2025-01-25T15:00:00,2,"administration, advanced, bookkeeping, general, payroll"
,Administration - Word & Spreadsheets,,8,,General,https://www.qualifax.ie/course/223634,1,0,,,2025-01-25T15:00:00,2,"administration, general, spreadsheets, word"
,Administration & Business Management - Advanced,,8,,Business,https://www.qualifax.ie/course/2318,1,0,,,2025-01-25T15:00:00,2,"administration, advanced, business, management"
,Administration & IT for Business,,8,,Business,https://www.qualifax.ie/course/3943,1,0,,,2025-01-25T15:00:00,2,"administration, business"
,Administration & Office Management,,8,,Business,https://www.qualifax.ie/course/102126,1,0,,,2025-01-25T15:00:00,2,"administration, business, management, office"
,Administration Management - Business,,8,,Business,https://www.qualifax.ie/course/219929,1,0,,,2025-01-25T15:00:00,2,"administration, business, management"
,Administration Practice,,8,,General,https://www.qualifax.ie/course/107589,1,0,,,2025-01-25T15:00:00,2,"administration, general, practice"
,Administration Practice - Online,,8,,General,https://www.qualifax.ie/course/108912,1,0,,,2025-01-25T15:00:00,2,"administration, general, online, practice"
