cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Access Course for Higher Education - Young Adults TAP,,8,,Education,https://www.qualifax.ie/course/11710,1,0,,,2025-01-25T15:00:00,0,"access, adults, education, higher, tap, young"
,Access for Higher Education,,8,,Education,https://www.qualifax.ie/course/218307,1,0,,,2025-01-25T15:00:00,0,"access, education, higher"
,Access For Higher Education - Letterkenny,,8,,Education,https://www.qualifax.ie/course/108005,1,0,,,2025-01-25T15:00:00,0,"access, education, higher, letterkenny"
,Adult Basic Education,,8,,Education,https://www.qualifax.ie/course/48532,1,0,,,2025-01-25T15:00:00,2,"adult, basic, education"
,Adult Basic Education Service - Literacy,,8,,Education,https://www.qualifax.ie/course/83084,1,0,,,2025-01-25T15:00:00,2,"adult, basic, education, literacy, service"
,Adult Literacy & Basic Education,,8,,Education,https://www.qualifax.ie/course/48511,1,0,,,2025-01-25T15:00:00,2,"adult, basic, education, literacy"
,Autism Education,,8,,Education,https://www.qualifax.ie/course/104688,1,0,,,2025-01-25T15:00:00,10,"autism, education"
,Back to Education Initiative BTEI,,8,,Education,https://www.qualifax.ie/course/108593,1,0,,,2025-01-25T15:00:00,10,"back, btei, education, initiative"
,Bespoke Education,,8,,Education,https://www.qualifax.ie/course/220148,1,0,,,2025-01-25T15:00:00,12,"bespoke, education"
,Billingual Education - Research,,8,,Education,https://www.qualifax.ie/course/224544,1,0,,,2025-01-25T15:00:00,12,"billingual, education, research"
,Catholic Religious Education & Theological Studies,,8,,Education,https://www.qualifax.ie/course/221869,1,0,,,2025-01-25T15:00:00,20,"catholic, education, religious, studies, theological"
,Centre for Excellence in Learning & Teaching - CELT - Research,,8,,Education,https://www.qualifax.ie/course/65837,1,0,,,2025-01-25T15:00:00,20,"celt, centre, education, excellence, learning, research, teaching"
,Chinese - Teaching Chinese to Speakers of Other Languages,,8,,Education,https://www.qualifax.ie/course/93369,1,0,,,2025-01-25T15:00:00,21,"chinese, education, languages, other, speakers, teaching"
,Clinical Education,,8,,Education,https://www.qualifax.ie/course/47726,1,0,,,2025-01-25T15:00:00,22,"clinical, education"
,Coaching & Mentoring in Education - Carlow,,8,,Education,https://www.qualifax.ie/course/224421,1,0,,,2025-01-25T15:00:00,23,"carlow, coaching, education, mentoring"
,Coaching & Physical Education 1,,8,,Education,https://www.qualifax.ie/course/42668,1,0,,,2025-01-25T15:00:00,23,"coaching, education, physical"
,Coaching & Physical Education 2,,8,,Education,https://www.qualifax.ie/course/76394,1,0,,,2025-01-25T15:00:00,23,"coaching, education, physical"
,Computing with Education,,8,,Education,https://www.qualifax.ie/course/112448,1,0,,,2025-01-25T15:00:00,27,"computing, education"
,Contemporary Innovations in Education - Sligo St. Angelas,,8,,Education,https://www.qualifax.ie/course/116121,1,0,,,2025-01-25T15:00:00,28,"angelas, contemporary, education, innovations, sligo"
,Geography & Outdoor Education - Castlebar,,8,,Education,https://www.qualifax.ie/course/114017,1,0,,,2025-01-25T15:00:00,52,"castlebar, education, geography, outdoor"
,Geography with Education & Optional Placement Year,,8,,Education,https://www.qualifax.ie/course/13292,1,0,,,2025-01-25T15:00:00,52,"education, geography, optional, placement, year"
,Global Citizenship Education,,8,,Education,https://www.qualifax.ie/course/115178,1,0,,,2025-01-25T15:00:00,52,"citizenship, education, global"
,History - Initial Teacher Education - Primary Teaching,,8,,Education,https://www.qualifax.ie/course/32933,1,0,,,2025-01-25T15:00:00,56,"education, history, initial, primary, teacher, teaching"
,Inclusion & Special Education Needs,,8,,Education,https://www.qualifax.ie/course/47735,1,0,,,2025-01-25T15:00:00,59,"education, inclusion, needs, special"
,Inclusive & Special Education,,8,,Education,https://www.qualifax.ie/course/115235,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, special"
,Inclusive Education,,8,,Education,https://www.qualifax.ie/course/104667,1,0,,,2025-01-25T15:00:00,59,"education, inclusive"
,Inclusive Education & SEN,,8,,Education,https://www.qualifax.ie/course/115418,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, sen"
,Inclusive Education & Training,,8,,Education,https://www.qualifax.ie/course/115923,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, training"
,Inclusive Education Practice,,8,,Education,https://www.qualifax.ie/course/115415,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, practice"
,Inclusive Education Practice - 1 Year Top Up,,8,,Education,https://www.qualifax.ie/course/115416,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, practice, top, year"
,Inclusive Education Practice - Inclusive Education & Training,,8,,Education,https://www.qualifax.ie/course/223738,1,0,,,2025-01-25T15:00:00,59,"education, inclusive, practice, training"
,Irish - Initial Teacher Education - Primary Teaching,,8,,Education,https://www.qualifax.ie/course/32935,1,0,,,2025-01-25T15:00:00,62,"education, initial, irish, primary, teacher, teaching"
,Journalism with Education,,8,,Education,https://www.qualifax.ie/course/31441,1,0,,,2025-01-25T15:00:00,63,"education, journalism"
,Languages - concurrent Teacher Education - Second Level Teaching,,8,,Education,https://www.qualifax.ie/course/107146,1,0,,,2025-01-25T15:00:00,64,"concurrent, education, languages, level, second, teacher, teaching"
GC403,Higher Education CAO Level 8 NFQ NFQ Type Major GC403 Law Griffith College Dublin South Circular Road CAO Points 251 Higher Education CAO Level 8 NFQ NFQ Type Major GC403,,8,,Education,https://www.qualifax.ie/course/12131,1,0,,,2025-01-25T15:00:00,64,"251, cao, circular, college, dublin, education, gc403, griffith, higher, law, level, major, nfq, points, road, south, type"
TR004,Higher Education CAO Level 8 NFQ NFQ Type Major TR004 Law Trinity College Dublin Dublin City Centre CAO Points 578 Higher Education CAO Level 8 NFQ NFQ Type Major TR004,,8,,Education,https://www.qualifax.ie/course/3031,1,0,,,2025-01-25T15:00:00,64,"578, cao, centre, city, college, dublin, education, higher, law, level, major, nfq, points, tr004, trinity, type"
DN600,Higher Education CAO Level 8 NFQ NFQ Type Major DN600 Law University College Dublin Belfield CAO Points 567 Higher Education CAO Level 8 NFQ NFQ Type Major DN600,,8,,Education,https://www.qualifax.ie/course/2252,1,0,,,2025-01-25T15:00:00,64,"567, belfield, cao, college, dn600, dublin, education, higher, law, level, major, nfq, points, type, university"
,Leadership of Wellbeing in Education,,8,,Education,https://www.qualifax.ie/course/108256,1,0,,,2025-01-25T15:00:00,66,"education, leadership, wellbeing"
,Learning & Teaching - Letterkenny,,8,,Education,https://www.qualifax.ie/course/93824,1,0,,,2025-01-25T15:00:00,66,"education, learning, letterkenny, teaching"
,Learning Difficulty Awareness - Inclusive Education & Training,,8,,Education,https://www.qualifax.ie/course/223739,1,0,,,2025-01-25T15:00:00,66,"awareness, difficulty, education, inclusive, learning, training"
,"Learning, Teaching and Assessment in HE",,8,,Education,https://www.qualifax.ie/course/224280,1,0,,,2025-01-25T15:00:00,66,"assessment, education, learning, teaching"
,"Learning, Teaching and Assessment in HE (PGDip)",,8,,Education,https://www.qualifax.ie/course/224281,1,0,,,2025-01-25T15:00:00,66,"assessment, education, learning, pgdip, teaching"
,Mobile & Web Computing - Tertiary Education Programme,,8,,Education,https://www.qualifax.ie/course/116016,1,0,,,2025-01-25T15:00:00,72,"computing, education, mobile, tertiary, web"
,Montessori Education - Cork,,8,,Education,https://www.qualifax.ie/course/109138,1,0,,,2025-01-25T15:00:00,72,"cork, education, montessori"
,Oideachas - Bunmhúinteoireacht - Trí Mheán na Gaeilge - daltaí Gaeltachta - TEG - Primary Teaching,,8,,Education,https://www.qualifax.ie/course/103719,1,0,,,2025-01-25T15:00:00,78,"bunmhúinteoireacht, daltaí, education, gaeilge, gaeltachta, mheán, oideachas, primary, teaching, teg, trí"
,Oideachas - Bunmhúinteoireacht - Trí Mheán na Gaeilge - TEG - Primary Teaching,,8,,Education,https://www.qualifax.ie/course/103718,1,0,,,2025-01-25T15:00:00,78,"bunmhúinteoireacht, education, gaeilge, mheán, oideachas, primary, teaching, teg, trí"
,Open - Certificate of Higher Education,,6,,Education,https://www.qualifax.ie/course/87875,1,0,,,2025-01-25T15:00:00,78,"certificate, education, higher, open"
,Open - Diploma of Higher Education,,7,,Education,https://www.qualifax.ie/course/90178,1,0,,,2025-01-25T15:00:00,78,"diploma, education, higher, open"
,Outdoor & Environmental Education - Common Entry - Castlebar,,8,,Education,https://www.qualifax.ie/course/116419,1,0,,,2025-01-25T15:00:00,79,"castlebar, common, education, entry, environmental, outdoor"
,Outdoor Education - Castlebar,,8,,Education,https://www.qualifax.ie/course/114022,1,0,,,2025-01-25T15:00:00,79,"castlebar, education, outdoor"
,Outdoor Education - Mayo,,8,,Education,https://www.qualifax.ie/course/223955,1,0,,,2025-01-25T15:00:00,79,"education, mayo, outdoor"
,"Outdoor Education, Sustainability & Well-being - Mayo",,8,,Education,https://www.qualifax.ie/course/115366,1,0,,,2025-01-25T15:00:00,79,"being, education, mayo, outdoor, sustainability, well"
,PE Teaching & Sports Studies - Pre-University,,8,,Education,https://www.qualifax.ie/course/67304,1,0,,,2025-01-25T15:00:00,80,"education, pre, sports, studies, teaching, university"
,Peer Education,,8,,Education,https://www.qualifax.ie/course/111027,1,0,,,2025-01-25T15:00:00,80,"education, peer"
,PGCE Post Primary Education - Various Subjects,,8,,Education,https://www.qualifax.ie/course/108383,1,0,,,2025-01-25T15:00:00,80,"education, pgce, post, primary, subjects, various"
,Physical Education,,8,,Education,https://www.qualifax.ie/course/220281,1,0,,,2025-01-25T15:00:00,82,"education, physical"
,Physical Education - Initial Teacher Education - Primary Teaching,,8,,Education,https://www.qualifax.ie/course/32939,1,0,,,2025-01-25T15:00:00,82,"education, initial, physical, primary, teacher, teaching"
,Physical Education (PE) & Coaching,,8,,Education,https://www.qualifax.ie/course/113462,1,0,,,2025-01-25T15:00:00,82,"coaching, education, physical"
,Physical Education & Coaching - Sport Recreation & Exercise,,8,,Education,https://www.qualifax.ie/course/84412,1,0,,,2025-01-25T15:00:00,82,"coaching, education, exercise, physical, recreation, sport"
,Physical Education & Performance Analysis,,8,,Education,https://www.qualifax.ie/course/222739,1,0,,,2025-01-25T15:00:00,82,"analysis, education, performance, physical"
,Physical Education & PGCEi & Teacher Assessment Ready,,8,,Education,https://www.qualifax.ie/course/218617,1,0,,,2025-01-25T15:00:00,82,"assessment, education, pgcei, physical, ready, teacher"
,Physical Education & Sport,,8,,Education,https://www.qualifax.ie/course/103036,1,0,,,2025-01-25T15:00:00,82,"education, physical, sport"
,Physical Education Studies - Athlone,,8,,Education,https://www.qualifax.ie/course/220971,1,0,,,2025-01-25T15:00:00,82,"athlone, education, physical, studies"
,Physical Education Studies - Kerry / Online,,8,,Education,https://www.qualifax.ie/course/218646,1,0,,,2025-01-25T15:00:00,82,"education, kerry, online, physical, studies"
,Physical Education with concurrent Teacher Education - Second Level Teaching,,8,,Education,https://www.qualifax.ie/course/2184,1,0,,,2025-01-25T15:00:00,82,"concurrent, education, level, physical, second, teacher, teaching"
,Pilates Teaching & Exercise Specialist,,8,,Education,https://www.qualifax.ie/course/105771,1,0,,,2025-01-25T15:00:00,83,"education, exercise, pilates, specialist, teaching"
,Post Primary Teacher Education - Gaeilge & French or German or Spanish - Second Level Teaching,,8,,Education,https://www.qualifax.ie/course/110199,1,0,,,2025-01-25T15:00:00,83,"education, french, gaeilge, german, level, post, primary, second, spanish, teacher, teaching"
,Post Primary Teacher Education - Religious Education & English - Second Level Teaching,,8,,Education,https://www.qualifax.ie/course/110201,1,0,,,2025-01-25T15:00:00,83,"education, english, level, post, primary, religious, second, teacher, teaching"
