cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,CAO Page,,8,,General,https://www.qualifax.ie/node/206131,1,0,,,2025-01-25T15:00:00,0,"cao, general, page"
,Information Hub,,8,,General,https://www.qualifax.ie/information-hub,1,0,,,2025-01-25T15:00:00,0,"general, hub, information"
,Other QQI Resources,,8,,General,https://www.qualifax.ie/node/206103,1,0,,,2025-01-25T15:00:00,0,"general, other, qqi, resources"
,What We Do,,8,,General,https://www.qualifax.ie/node/206101,1,0,,,2025-01-25T15:00:00,0,"general, what"
,Who We Are,,8,,General,https://www.qualifax.ie/node/206100,1,0,,,2025-01-25T15:00:00,0,"general, who"
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/220192,1,0,,,2025-01-25T15:00:00,0,"archaeology, buildings, general, sligo"
,Archaeology - Introduction to Archaeological Interpretation - Sligo,,8,,General,https://www.qualifax.ie/course/220193,1,0,,,2025-01-25T15:00:00,0,"archaeological, archaeology, general, interpretation, introduction, sligo"
,GREAT Cognitive Rehabilitation - E-Learning,,8,,General,https://www.qualifax.ie/course/221910,1,0,,,2025-01-25T15:00:00,0,"cognitive, general, great, learning, rehabilitation"
,Sustainable Horticulture with Biodiversity,,8,,General,https://www.qualifax.ie/course/223077,1,0,,,2025-01-25T15:00:00,0,"biodiversity, general, horticulture, sustainable"
,2026 Deadline for Completion of DARE Application Form,,8,,General,https://www.qualifax.ie/events/2026-deadline-for-completion-of-dare-application-form,1,0,,,2025-01-25T15:00:00,0,"2026, application, completion, dare, deadline, form, general"
,2026 Deadline for Completion of the Online HEAR Application Form,,8,,General,https://www.qualifax.ie/events/2026-deadline-for-completion-of-the-online-hear-application-form,1,0,,,2025-01-25T15:00:00,0,"2026, application, completion, deadline, form, general, hear, online"
,2026 Latest Date for DARE Supporting Documents to arrive in CAO,,8,,General,https://www.qualifax.ie/events/2026-latest-date-for-dare-supporting-documents-to-arrive-in-cao,1,0,,,2025-01-25T15:00:00,1,"2026, arrive, cao, dare, date, documents, general, latest, supporting"
,2026 Latest Date for HEAR Supporting Documents to arrive in CAO,,8,,General,https://www.qualifax.ie/events/2026-latest-date-for-hear-supporting-documents-to-arrive-in-cao,1,0,,,2025-01-25T15:00:00,1,"2026, arrive, cao, date, documents, general, hear, latest, supporting"
,2D & 3D Digital Animation Production,,8,,General,https://www.qualifax.ie/course/97195,1,0,,,2025-01-25T15:00:00,1,"animation, digital, general, production"
,3D Animation,,8,,General,https://www.qualifax.ie/course/114153,1,0,,,2025-01-25T15:00:00,1,"animation, general"
,3D Animation - with Motion Graphics,,8,,General,https://www.qualifax.ie/course/109021,1,0,,,2025-01-25T15:00:00,1,"animation, general, graphics, motion"
,3D Animation - with Portfolio Preparation,,8,,General,https://www.qualifax.ie/course/220061,1,0,,,2025-01-25T15:00:00,1,"animation, general, portfolio, preparation"
,3D Modelling & Animation - Letterkenny,,8,,General,https://www.qualifax.ie/course/115209,1,0,,,2025-01-25T15:00:00,1,"animation, general, letterkenny, modelling"
,A new Qualifax experience,,8,,General,https://www.qualifax.ie/news/a-new-qualifax-experience,1,0,,,2025-01-25T15:00:00,1,"experience, general, new, qualifax"
,Ability Pathways (MAP) Project - Mapping Inclusive Futures,,8,,General,https://www.qualifax.ie/course/219998,1,0,,,2025-01-25T15:00:00,1,"ability, futures, general, inclusive, map, mapping, pathways, project"
,Abrasive Wheels Instructor,,8,,General,https://www.qualifax.ie/course/223438,1,0,,,2025-01-25T15:00:00,1,"abrasive, general, instructor, wheels"
,Access,,8,,General,https://www.qualifax.ie/course/94563,1,0,,,2025-01-25T15:00:00,1,"access, general"
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94949,1,0,,,2025-01-25T15:00:00,1,"access, employability, general, skills"
,Access - General Learning,,8,,General,https://www.qualifax.ie/course/95163,1,0,,,2025-01-25T15:00:00,2,"access, general, learning"
,Access Control,,8,,General,https://www.qualifax.ie/course/116355,1,0,,,2025-01-25T15:00:00,2,"access, control, general"
,Access English Campus,,8,,General,https://www.qualifax.ie/providers/access-english-campus,1,0,,,2025-01-25T15:00:00,2,"access, campus, english, general"
,Access Foundation Course,,8,,General,https://www.qualifax.ie/course/224248,1,0,,,2025-01-25T15:00:00,2,"access, foundation, general"
,Access IT Ltd,,8,,General,https://www.qualifax.ie/providers/access-it-ltd,1,0,,,2025-01-25T15:00:00,2,"access, general, ltd"
,Access Programme - Athlone,,8,,General,https://www.qualifax.ie/course/98599,1,0,,,2025-01-25T15:00:00,2,"access, athlone, general"
,Access Studies - Letterkenny,,8,,General,https://www.qualifax.ie/course/222438,1,0,,,2025-01-25T15:00:00,2,"access, general, letterkenny, studies"
,Access Studies - NI Applicants - Letterkenny,,8,,General,https://www.qualifax.ie/course/109132,1,0,,,2025-01-25T15:00:00,2,"access, applicants, general, letterkenny, studies"
