cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,Access,,8,,General,https://www.qualifax.ie/course/95245,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/95225,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/94381,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94949,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94713,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/110703,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95062,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95068,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95181,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95179,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95247,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/108421,1,0,,,2025-01-25T15:00:00,2
,Access - General Learning,,8,,General,https://www.qualifax.ie/course/95163,1,0,,,2025-01-25T15:00:00,2
,Access Control,,8,,General,https://www.qualifax.ie/course/116355,1,0,,,2025-01-25T15:00:00,2
,Access Course for Higher Education - Young Adults TAP,,8,,Education,https://www.qualifax.ie/course/11710,1,0,,,2025-01-25T15:00:00,2
,Access English Campus,,8,,General,https://www.qualifax.ie/providers/access-english-campus,1,0,,,2025-01-25T15:00:00,2
,Access for Higher Education,,8,,Education,https://www.qualifax.ie/course/218307,1,0,,,2025-01-25T15:00:00,2
,Access For Higher Education - Letterkenny,,8,,Education,https://www.qualifax.ie/course/108005,1,0,,,2025-01-25T15:00:00,2
,Access Foundation Course,,8,,General,https://www.qualifax.ie/course/224248,1,0,,,2025-01-25T15:00:00,2
,Access IT Ltd,,8,,General,https://www.qualifax.ie/providers/access-it-ltd,1,0,,,2025-01-25T15:00:00,2
,Access Programme - Athlone,,8,,General,https://www.qualifax.ie/course/98599,1,0,,,2025-01-25T15:00:00,2
,Access Studies - Letterkenny,,8,,General,https://www.qualifax.ie/course/222438,1,0,,,2025-01-25T15:00:00,2
,Access Studies - NI Applicants - Letterkenny,,8,,General,https://www.qualifax.ie/course/109132,1,0,,,2025-01-25T15:00:00,2
,Access to Arts Humanities Social Sciences & Law AHSSL - Mature Applicants,,8,,STEM,https://www.qualifax.ie/course/222979,1,0,,,2025-01-25T15:00:00,2
,Access to Arts Humanities Social Sciences & Law AHSSL - Young Adult Applicants,,8,,STEM,https://www.qualifax.ie/course/30309,1,0,,,2025-01-25T15:00:00,2
